(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 482, 482)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 502, 502)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 533, 533)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 563, 563)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 1304, 1304)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 594, 594)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 625, 625)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 657, 657)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 688, 688)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 718, 718)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 740, 740)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 778, 778)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 805, 805)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 835, 835)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 873, 873)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 909, 909)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 946, 946)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 976, 976)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 1005, 1005)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 1036, 1036)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 1066, 1066)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 1096, 1096)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 1126, 1126)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 1147, 1147)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 1186, 1186)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 1216, 1216)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 1244, 1244)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 2546, 2546)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 2576, 2576)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 2606, 2606)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 2637, 2637)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 2668, 2668)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 2698, 2698)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 2729, 2729)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 2761, 2761)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 2792, 2792)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 2818, 2818)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 2846, 2846)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 2873, 2873)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 2898, 2898)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 2924, 2924)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 2951, 2951)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 3002, 3002)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 3041, 3041)
(2, 'P-254', 'заезды', 'весь участок', 3, 3527, 'Опоры освещения и контактной сети', 'Зона расположения', 'нас. пункт', 2, 2)
(2, 'P-254', 'заезды', 'весь участок', 3, 3527, 'Опоры освещения и контактной сети', 'Зона расположения', 'нас. пункт', 29, 29)
(2, 'P-254', 'заезды', 'весь участок', 3, 3527, 'Опоры освещения и контактной сети', 'Зона расположения', 'нас. пункт', 59, 59)
(2, 'P-254', 'заезды', 'весь участок', 3, 3527, 'Опоры освещения и контактной сети', 'Зона расположения', 'нас. пункт', -127, -127)
(2, 'P-254', 'заезды', 'весь участок', 3, 3527, 'Опоры освещения и контактной сети', 'Зона расположения', 'нас. пункт', 120, 120)
(2, 'P-254', 'заезды', 'весь участок', 3, 3527, 'Опоры освещения и контактной сети', 'Зона расположения', 'нас. пункт', 150, 150)
(2, 'P-254', 'заезды', 'весь участок', 3, 3527, 'Опоры освещения и контактной сети', 'Зона расположения', 'нас. пункт', 179, 179)
(2, 'P-254', 'заезды', 'весь участок', 3, 3527, 'Опоры освещения и контактной сети', 'Зона расположения', 'нас. пункт', 213, 213)
(2, 'P-254', 'заезды', 'весь участок', 3, 3527, 'Опоры освещения и контактной сети', 'Зона расположения', 'нас. пункт', 242, 242)
(2, 'P-254', 'заезды', 'весь участок', 3, 3527, 'Опоры освещения и контактной сети', 'Зона расположения', 'нас. пункт', 272, 272)
(2, 'P-254', 'заезды', 'весь участок', 3, 3527, 'Опоры освещения и контактной сети', 'Зона расположения', 'нас. пункт', 302, 302)
(2, 'P-254', 'заезды', 'весь участок', 3, 3527, 'Опоры освещения и контактной сети', 'Зона расположения', 'нас. пункт', 332, 332)
(2, 'P-254', 'заезды', 'весь участок', 3, 3527, 'Опоры освещения и контактной сети', 'Зона расположения', 'нас. пункт', 362, 362)
(2, 'P-254', 'заезды', 'весь участок', 3, 3527, 'Опоры освещения и контактной сети', 'Зона расположения', 'нас. пункт', 392, 392)
